Exercice_number,Category_number,Used_pattern
22,6,"[21, 10]"
23,0,"[2, 1, 5, 6, 8, 10, 12]"
23,1,"[4, 2, 5]"
23,2,"[2, 8, 6, 9]"
23,3,[1]
23,4,[7]
23,5,"[3, 1]"
23,6,"[1, 20]"
24,0,"[2, 4, 6, 5, 7, 10, 11]"
24,1,"[2, 4, 3]"
24,2,"[3, 8, 6, 10]"
24,3,[1]
24,4,[5]
24,5,"[2, 5]"
24,6,"[1, 5]"
25,0,"[2, 3, 5, 6, 8, 9, 11]"
25,1,"[6, 1, 3]"
25,2,"[6, 5, 3, 11]"
25,3,[2]
25,4,[7]
25,5,"[5, 2]"
25,6,"[2, 4]"
26,0,"[4, 2, 5, 6, 7, 9, 12]"
26,1,"[4, 5, 6]"
26,2,"[6, 4, 7, 11]"
26,3,[4]
26,4,[6]
26,5,"[3, 4]"
26,6,"[5, 2]"
27,0,"[4, 3, 5, 6, 8, 10, 11]"
27,1,"[5, 1, 4]"
27,2,"[7, 1, 8, 11]"
27,3,[1]
27,4,[1]
27,5,"[4, 3]"
27,6,"[5, 12]"
28,0,"[2, 4, 5, 6, 7, 9, 12]"
28,1,"[1, 5, 2]"
28,2,"[6, 2, 8, 11]"
28,3,[4]
28,4,[4]
28,5,"[4, 3]"
28,6,"[5, 9]"
29,0,"[4, 1, 6, 5, 8, 10, 12]"
29,1,"[2, 6, 3]"
29,2,"[8, 2, 4, 11]"
29,3,[3]
29,4,[1]
29,5,"[5, 3]"
29,6,"[21, 10]"
30,0,"[1, 4, 5, 6, 7, 10, 11]"
30,1,"[5, 2, 4]"
30,2,"[4, 3, 5, 13]"
30,3,[1]
30,4,[3]
30,5,"[2, 1]"
30,6,"[7, 9]"
31,0,"[1, 4, 6, 5, 7, 10, 11]"
31,1,"[2, 4, 5]"
31,2,"[2, 6, 7, 13]"
31,3,[2]
31,4,[7]
31,5,"[3, 1]"
31,6,"[20, 10]"
32,0,"[2, 4, 6, 5, 7, 9, 12]"
32,1,"[2, 5, 4]"
32,2,"[1, 7, 5, 10]"
32,3,[3]
32,4,[1]
32,5,"[1, 4]"
32,6,"[1, 10]"
33,0,"[1, 4, 5, 6, 8, 9, 12]"
33,1,"[4, 5, 1]"
33,2,"[7, 1, 2, 10]"
33,3,[3]
33,4,[5]
33,5,"[3, 2]"
33,6,"[5, 7]"
34,0,"[4, 2, 6, 5, 8, 9, 11]"
34,1,"[1, 6, 4]"
34,2,"[5, 7, 1, 10]"
34,3,[1]
34,4,[1]
34,5,"[1, 2]"
34,6,"[15, 1]"
35,0,"[1, 2, 5, 6, 8, 10, 12]"
35,1,"[4, 6, 2]"
35,2,"[1, 7, 4, 13]"
35,3,[2]
35,4,[4]
35,5,"[2, 3]"
35,6,"[2, 16]"
36,0,"[3, 1, 6, 5, 8, 10, 12]"
36,1,"[5, 3, 6]"
36,2,"[6, 7, 8, 13]"
36,3,[2]
36,4,[3]
36,5,"[5, 3]"
36,6,"[5, 8]"
37,0,"[2, 1, 5, 6, 8, 9, 12]"
37,1,"[5, 2, 4]"
37,2,"[8, 5, 3, 9]"
37,3,[3]
37,4,[7]
37,5,"[4, 3]"
37,6,"[2, 9]"
38,0,"[2, 4, 5, 6, 7, 9, 11]"
38,1,"[1, 6, 4]"
38,2,"[5, 2, 8, 13]"
38,3,[4]
38,4,[3]
38,5,"[3, 1]"
38,6,"[16, 20]"
39,0,"[3, 2, 5, 6, 7, 9, 12]"
39,1,"[3, 4, 1]"
39,2,"[5, 6, 2, 10]"
39,3,[1]
39,4,[1]
39,5,"[2, 4]"
39,6,"[9, 8]"
40,0,"[2, 3, 5, 6, 8, 9, 12]"
40,1,"[6, 5, 4]"
40,2,"[2, 6, 1, 13]"
40,3,[2]
40,4,[1]
40,5,"[3, 5]"
40,6,"[15, 16]"
41,0,"[2, 3, 6, 5, 7, 9, 12]"
41,1,"[3, 5, 2]"
41,2,"[6, 7, 2, 11]"
41,3,[2]
41,4,[6]
41,5,"[1, 2]"
41,6,"[8, 10]"
42,0,"[1, 2, 6, 5, 7, 10, 11]"
42,1,"[5, 4, 1]"
42,2,"[7, 1, 5, 12]"
42,3,[1]
42,4,[6]
42,5,"[2, 4]"
42,6,"[20, 16]"
43,0,"[2, 3, 6, 5, 7, 10, 11]"
43,1,"[4, 3, 1]"
43,2,"[8, 3, 7, 12]"
43,3,[2]
43,4,[3]
43,5,"[1, 4]"
43,6,"[13, 1]"
44,0,"[3, 4, 6, 5, 7, 10, 11]"
44,1,"[2, 1, 5]"
44,2,"[1, 4, 2, 10]"
44,3,[3]
44,4,[6]
44,5,"[2, 4]"
44,6,"[9, 10]"
45,0,"[1, 2, 5, 6, 7, 10, 11]"
45,1,"[5, 6, 2]"
45,2,"[7, 5, 8, 10]"
45,3,[3]
45,4,[7]
45,5,"[4, 2]"
45,6,"[11, 5]"
46,0,"[4, 3, 6, 5, 7, 10, 11]"
46,1,"[2, 3, 5]"
46,2,"[7, 4, 8, 13]"
46,3,[1]
46,4,[7]
46,5,"[3, 1]"
46,6,"[2, 10]"
47,0,"[3, 1, 6, 5, 8, 10, 12]"
47,1,"[6, 3, 4]"
47,2,"[2, 3, 4, 9]"
47,3,[4]
47,4,[6]
47,5,"[2, 3]"
47,6,"[9, 5]"
48,0,"[2, 4, 5, 6, 7, 10, 11]"
48,1,"[6, 5, 1]"
48,2,"[3, 2, 6, 9]"
48,3,[4]
48,4,[6]
48,5,"[5, 2]"
48,6,"[9, 15]"
49,0,"[1, 2, 6, 5, 7, 10, 11]"
49,1,"[6, 2, 1]"
49,2,"[1, 7, 8, 12]"
49,3,[1]
49,4,[6]
49,5,"[2, 4]"
49,6,"[4, 8]"
50,0,"[2, 4, 5, 6, 8, 10, 11]"
50,1,"[3, 6, 2]"
50,2,"[5, 6, 4, 9]"
50,3,[4]
50,4,[4]
50,5,"[3, 2]"
50,6,"[16, 7]"
51,0,"[4, 1, 5, 6, 7, 9, 11]"
51,1,"[5, 2, 1]"
51,2,"[2, 7, 3, 11]"
51,3,[1]
51,4,[7]
51,5,"[4, 5]"
51,6,"[11, 1]"
52,0,"[1, 4, 5, 6, 8, 9, 12]"
52,1,"[1, 6, 5]"
52,2,"[2, 8, 5, 11]"
52,3,[2]
52,4,[7]
52,5,"[5, 2]"
52,6,"[9, 11]"
53,0,"[3, 1, 6, 5, 7, 9, 11]"
53,1,"[4, 3, 2]"
53,2,"[2, 4, 8, 10]"
53,3,[3]
53,4,[6]
53,5,"[5, 3]"
53,6,"[15, 10]"
54,0,"[4, 2, 6, 5, 8, 9, 12]"
54,1,"[1, 5, 6]"
54,2,"[6, 2, 1, 13]"
54,3,[2]
54,4,[7]
54,5,"[3, 5]"
54,6,"[9, 5]"
55,0,"[4, 3, 5, 6, 8, 9, 11]"
55,1,"[2, 5, 4]"
55,2,"[4, 3, 8, 9]"
55,3,[2]
55,4,[1]
55,5,"[2, 3]"
55,6,"[2, 20]"
56,0,"[3, 2, 5, 6, 8, 9, 12]"
56,1,"[4, 5, 2]"
56,2,"[1, 4, 6, 9]"
56,3,[2]
56,4,[3]
56,5,"[4, 1]"
56,6,"[20, 1]"
57,0,"[4, 3, 5, 6, 7, 10, 11]"
57,1,"[2, 1, 4]"
57,2,"[8, 7, 3, 13]"
57,3,[4]
57,4,[3]
57,5,"[4, 1]"
57,6,"[7, 10]"
58,0,"[4, 3, 6, 5, 8, 9, 12]"
58,1,"[2, 6, 4]"
58,2,"[4, 3, 6, 11]"
58,3,[3]
58,4,[1]
58,5,"[2, 5]"
58,6,"[20, 11]"
59,0,"[3, 4, 6, 5, 8, 9, 11]"
59,1,"[1, 3, 2]"
59,2,"[6, 5, 1, 9]"
59,3,[3]
59,4,[1]
59,5,"[2, 5]"
59,6,"[4, 2]"
60,0,"[2, 4, 5, 6, 7, 9, 11]"
60,1,"[5, 2, 3]"
60,2,"[2, 5, 3, 12]"
60,3,[2]
60,4,[2]
60,5,"[3, 1]"
60,6,"[5, 11]"
61,0,"[4, 3, 5, 6, 8, 10, 12]"
61,1,"[2, 3, 4]"
61,2,"[4, 8, 6, 11]"
61,3,[1]
61,4,[1]
61,5,"[3, 1]"
61,6,"[9, 1]"
62,0,"[1, 3, 5, 6, 7, 9, 11]"
62,1,"[4, 3, 6]"
62,2,"[6, 2, 3, 12]"
62,3,[1]
62,4,[5]
62,5,"[4, 3]"
62,6,"[2, 15]"
63,0,"[3, 1, 6, 5, 8, 9, 11]"
63,1,"[1, 3, 5]"
63,2,"[5, 3, 1, 10]"
63,3,[3]
63,4,[7]
63,5,"[4, 1]"
63,6,"[5, 9]"
64,0,"[3, 2, 5, 6, 7, 9, 12]"
64,1,"[5, 3, 6]"
64,2,"[6, 2, 7, 12]"
64,3,[1]
64,4,[4]
64,5,"[3, 2]"
64,6,"[21, 2]"
65,0,"[3, 1, 6, 5, 7, 10, 12]"
65,1,"[2, 6, 5]"
65,2,"[5, 7, 8, 12]"
65,3,[2]
65,4,[4]
65,5,"[2, 4]"
65,6,"[15, 11]"
66,0,"[4, 3, 5, 6, 7, 9, 12]"
66,1,"[1, 5, 2]"
66,2,"[6, 4, 1, 9]"
66,3,[4]
66,4,[2]
66,5,"[4, 3]"
66,6,"[21, 5]"
67,0,"[3, 2, 6, 5, 8, 10, 12]"
67,1,"[2, 1, 6]"
67,2,"[5, 8, 1, 11]"
67,3,[3]
67,4,[1]
67,5,"[3, 1]"
67,6,"[9, 11]"
68,0,"[3, 1, 5, 6, 8, 10, 11]"
68,1,"[2, 1, 3]"
68,2,"[1, 4, 7, 13]"
68,3,[1]
68,4,[3]
68,5,"[2, 1]"
68,6,"[16, 9]"
69,0,"[4, 2, 6, 5, 7, 9, 12]"
69,1,"[6, 2, 4]"
69,2,"[6, 2, 3, 9]"
69,3,[4]
69,4,[3]
69,5,"[3, 5]"
69,6,"[2, 15]"
70,0,"[3, 4, 5, 6, 7, 9, 12]"
70,1,"[6, 3, 1]"
70,2,"[5, 4, 3, 12]"
70,3,[2]
70,4,[7]
70,5,"[5, 4]"
70,6,"[10, 7]"
71,0,"[2, 4, 6, 5, 8, 10, 11]"
71,1,"[5, 1, 6]"
71,2,"[3, 2, 5, 12]"
71,3,[4]
71,4,[1]
71,5,"[4, 2]"
71,6,"[5, 10]"
72,0,"[1, 4, 5, 6, 8, 9, 12]"
72,1,"[4, 5, 1]"
72,2,"[3, 1, 4, 12]"
72,3,[4]
72,4,[6]
72,5,"[4, 3]"
72,6,"[15, 8]"
73,0,"[3, 2, 6, 5, 8, 10, 11]"
73,1,"[3, 5, 1]"
73,2,"[7, 4, 1, 13]"
73,3,[2]
73,4,[3]
73,5,"[3, 1]"
73,6,"[10, 15]"
74,0,"[1, 4, 5, 6, 8, 10, 12]"
74,1,"[5, 3, 4]"
74,2,"[8, 6, 7, 11]"
74,3,[4]
74,4,[3]
74,5,"[3, 4]"
74,6,"[16, 1]"
75,0,"[4, 3, 6, 5, 8, 9, 11]"
75,1,"[1, 3, 5]"
75,2,"[2, 7, 1, 12]"
75,3,[4]
75,4,[7]
75,5,"[2, 1]"
75,6,"[1, 10]"
76,0,"[1, 4, 6, 5, 8, 10, 11]"
76,1,"[2, 5, 3]"
76,2,"[2, 8, 3, 11]"
76,3,[4]
76,4,[3]
76,5,"[5, 3]"
76,6,"[2, 8]"
77,0,"[2, 1, 5, 6, 8, 10, 11]"
77,1,"[6, 3, 4]"
77,2,"[6, 3, 7, 11]"
77,3,[1]
77,4,[3]
77,5,"[3, 1]"
77,6,"[11, 7]"
78,0,"[4, 2, 5, 6, 7, 10, 12]"
78,1,"[6, 2, 1]"
78,2,"[2, 3, 1, 13]"
78,3,[4]
78,4,[7]
78,5,"[5, 3]"
78,6,"[2, 15]"
79,0,"[1, 4, 5, 6, 8, 9, 11]"
79,1,"[2, 3, 1]"
79,2,"[7, 4, 8, 10]"
79,3,[1]
79,4,[1]
79,5,"[5, 1]"
79,6,"[4, 10]"
80,0,"[1, 2, 5, 6, 8, 9, 11]"
80,1,"[6, 1, 2]"
80,2,"[2, 8, 7, 9]"
80,3,[1]
80,4,[3]
80,5,"[1, 3]"
80,6,"[11, 8]"
81,0,"[2, 1, 6, 5, 8, 9, 11]"
81,1,"[5, 6, 2]"
81,2,"[8, 1, 4, 13]"
81,3,[4]
81,4,[6]
81,5,"[3, 1]"
81,6,"[8, 16]"
82,0,"[2, 3, 5, 6, 7, 9, 11]"
82,1,"[6, 1, 4]"
82,2,"[8, 3, 7, 11]"
82,3,[3]
82,4,[3]
82,5,"[3, 1]"
82,6,"[1, 8]"
83,0,"[3, 2, 6, 5, 8, 10, 12]"
83,1,"[4, 2, 1]"
83,2,"[1, 6, 4, 12]"
83,3,[4]
83,4,[4]
83,5,"[2, 1]"
83,6,"[11, 10]"
84,0,"[1, 3, 5, 6, 7, 10, 11]"
84,1,"[4, 6, 1]"
84,2,"[1, 8, 5, 13]"
84,3,[2]
84,4,[1]
84,5,"[1, 2]"
84,6,"[1, 7]"
85,0,"[2, 4, 6, 5, 8, 10, 12]"
85,1,"[2, 3, 1]"
85,2,"[1, 5, 6, 9]"
85,3,[3]
85,4,[1]
85,5,"[3, 5]"
85,6,"[2, 8]"
86,0,"[2, 4, 6, 5, 8, 9, 12]"
86,1,"[6, 1, 4]"
86,2,"[5, 7, 3, 11]"
86,3,[3]
86,4,[4]
86,5,"[2, 3]"
86,6,"[7, 5]"
87,0,"[3, 2, 5, 6, 8, 10, 11]"
87,1,"[5, 3, 4]"
87,2,"[1, 3, 4, 10]"
87,3,[1]
87,4,[2]
87,5,"[5, 4]"
87,6,"[21, 7]"
88,0,"[4, 3, 5, 6, 8, 9, 11]"
88,1,"[4, 3, 5]"
88,2,"[5, 8, 1, 11]"
88,3,[2]
88,4,[3]
88,5,"[1, 2]"
88,6,"[2, 1]"
89,0,"[2, 3, 5, 6, 8, 10, 12]"
89,1,"[3, 2, 1]"
89,2,"[6, 4, 2, 11]"
89,3,[4]
89,4,[1]
89,5,"[1, 2]"
89,6,"[10, 11]"
90,0,"[1, 2, 5, 6, 7, 9, 11]"
90,1,"[6, 2, 4]"
90,2,"[1, 7, 5, 12]"
90,3,[2]
90,4,[7]
90,5,"[4, 2]"
90,6,"[8, 5]"
91,0,"[4, 3, 5, 6, 7, 9, 11]"
91,1,"[4, 5, 1]"
91,2,"[3, 4, 7, 13]"
91,3,[1]
91,4,[4]
91,5,"[3, 5]"
91,6,"[5, 15]"
92,0,"[1, 2, 6, 5, 8, 10, 12]"
92,1,"[5, 1, 3]"
92,2,"[6, 8, 3, 10]"
92,3,[4]
92,4,[7]
92,5,"[2, 4]"
92,6,"[21, 5]"
93,0,"[4, 3, 6, 5, 8, 10, 12]"
93,1,"[5, 1, 2]"
93,2,"[8, 3, 6, 9]"
93,3,[3]
93,4,[3]
93,5,"[1, 5]"
93,6,"[16, 9]"
94,0,"[3, 1, 5, 6, 7, 10, 12]"
94,1,"[1, 4, 6]"
94,2,"[4, 1, 5, 10]"
94,3,[3]
94,4,[6]
94,5,"[2, 5]"
94,6,"[10, 8]"
95,0,"[2, 1, 6, 5, 8, 10, 11]"
95,1,"[1, 2, 6]"
95,2,"[3, 1, 2, 12]"
95,3,[3]
95,4,[1]
95,5,"[5, 2]"
95,6,"[11, 10]"
96,0,"[4, 2, 6, 5, 7, 9, 11]"
96,1,"[5, 6, 3]"
96,2,"[6, 8, 4, 11]"
96,3,[4]
96,4,[4]
96,5,"[1, 2]"
96,6,"[6, 7]"
97,0,"[1, 4, 6, 5, 8, 9, 11]"
97,1,"[4, 6, 2]"
97,2,"[4, 8, 7, 11]"
97,3,[3]
97,4,[5]
97,5,"[2, 4]"
97,6,"[1, 7]"
98,0,"[3, 2, 6, 5, 7, 10, 11]"
98,1,"[3, 5, 2]"
98,2,"[2, 8, 7, 10]"
98,3,[3]
98,4,[7]
98,5,"[3, 2]"
98,6,"[2, 8]"
99,0,"[3, 1, 6, 5, 7, 10, 11]"
99,1,"[2, 6, 4]"
99,2,"[4, 1, 5, 12]"
99,3,[1]
99,4,[1]
99,5,"[3, 5]"
99,6,"[7, 11]"
100,0,"[4, 1, 6, 5, 8, 9, 12]"
100,1,"[5, 2, 3]"
100,2,"[8, 1, 3, 11]"
100,3,[1]
100,4,[2]
100,5,"[4, 3]"
100,6,"[9, 21]"
101,0,"[2, 1, 6, 5, 8, 10, 12]"
101,1,"[2, 6, 1]"
101,2,"[1, 4, 3, 12]"
101,3,[1]
101,4,[7]
101,5,"[4, 3]"
101,6,"[9, 21]"
102,0,"[2, 4, 5, 6, 7, 10, 11]"
102,1,"[6, 3, 4]"
102,2,"[1, 3, 8, 10]"
102,3,[1]
102,4,[6]
102,5,"[5, 1]"
102,6,"[21, 9]"
103,0,"[2, 1, 5, 6, 8, 9, 12]"
103,1,"[2, 6, 5]"
103,2,"[4, 6, 8, 10]"
103,3,[1]
103,4,[4]
103,5,"[3, 1]"
103,6,"[5, 1]"
104,0,"[3, 2, 5, 6, 8, 9, 11]"
104,1,"[6, 4, 1]"
104,2,"[5, 7, 4, 13]"
104,3,[2]
104,4,[5]
104,5,"[1, 4]"
104,6,"[16, 8]"
105,0,"[3, 1, 5, 6, 7, 9, 12]"
105,1,"[5, 4, 3]"
105,2,"[4, 2, 5, 9]"
105,3,[4]
105,4,[7]
105,5,"[5, 1]"
105,6,"[15, 10]"
106,0,"[2, 1, 6, 5, 8, 10, 12]"
106,1,"[4, 3, 2]"
106,2,"[6, 7, 2, 9]"
106,3,[3]
106,4,[1]
106,5,"[3, 5]"
106,6,"[15, 20]"
107,0,"[3, 1, 6, 5, 8, 10, 11]"
107,1,"[6, 5, 1]"
107,2,"[3, 5, 7, 13]"
107,3,[4]
107,4,[7]
107,5,"[5, 2]"
107,6,"[1, 9]"
108,0,"[4, 1, 5, 6, 7, 10, 11]"
108,1,"[6, 1, 3]"
108,2,"[5, 7, 4, 10]"
108,3,[2]
108,4,[6]
108,5,"[3, 1]"
108,6,"[15, 11]"
109,0,"[4, 1, 5, 6, 7, 9, 12]"
109,1,"[5, 2, 6]"
109,2,"[6, 4, 5, 11]"
109,3,[1]
109,4,[6]
109,5,"[3, 1]"
109,6,"[4, 11]"
110,0,"[2, 3, 6, 5, 7, 10, 11]"
110,1,"[6, 3, 2]"
110,2,"[2, 3, 1, 13]"
110,3,[2]
110,4,[2]
110,5,"[5, 4]"
110,6,"[2, 20]"
111,0,"[4, 3, 6, 5, 7, 10, 12]"
111,1,"[1, 4, 6]"
111,2,"[6, 1, 4, 11]"
111,3,[4]
111,4,[3]
111,5,"[5, 3]"
111,6,"[9, 11]"
112,0,"[3, 1, 5, 6, 8, 9, 12]"
112,1,"[3, 6, 5]"
112,2,"[6, 5, 1, 9]"
112,3,[4]
112,4,[1]
112,5,"[1, 3]"
112,6,"[16, 11]"
113,0,"[4, 1, 6, 5, 8, 9, 11]"
113,1,"[5, 2, 3]"
113,2,"[4, 5, 2, 13]"
113,3,[2]
113,4,[3]
113,5,"[2, 5]"
113,6,"[7, 5]"
114,0,"[2, 1, 5, 6, 8, 10, 11]"
114,1,"[4, 3, 2]"
114,2,"[2, 5, 7, 9]"
114,3,[2]
114,4,[7]
114,5,"[1, 3]"
114,6,"[13, 16]"
115,0,"[1, 2, 6, 5, 8, 9, 12]"
115,1,"[3, 2, 6]"
115,2,"[1, 8, 5, 10]"
115,3,[3]
115,4,[4]
115,5,"[3, 1]"
115,6,"[2, 9]"
116,0,"[2, 4, 5, 6, 7, 10, 12]"
116,1,"[3, 5, 6]"
116,2,"[7, 8, 1, 10]"
116,3,[3]
116,4,[7]
116,5,"[5, 3]"
116,6,"[15, 10]"
117,0,"[3, 1, 5, 6, 7, 9, 11]"
117,1,"[6, 5, 4]"
117,2,"[4, 3, 6, 9]"
117,3,[2]
117,4,[1]
117,5,"[1, 2]"
117,6,"[7, 11]"
118,0,"[3, 1, 6, 5, 7, 9, 12]"
118,1,"[2, 1, 5]"
118,2,"[3, 7, 4, 9]"
118,3,[1]
118,4,[3]
118,5,"[1, 3]"
118,6,"[9, 8]"
119,0,"[4, 2, 6, 5, 7, 10, 12]"
119,1,"[5, 6, 2]"
119,2,"[4, 6, 3, 13]"
119,3,[3]
119,4,[4]
119,5,"[1, 2]"
119,6,"[7, 5]"
120,0,"[2, 4, 6, 5, 7, 9, 12]"
120,1,"[1, 3, 2]"
120,2,"[4, 3, 2, 9]"
120,3,[4]
120,4,[6]
120,5,"[1, 2]"
120,6,"[21, 15]"
121,0,"[1, 2, 6, 5, 7, 10, 11]"
121,1,"[5, 6, 3]"
121,2,"[8, 4, 1, 12]"
121,3,[2]
121,4,[5]
121,5,"[3, 2]"
121,6,"[9, 8]"
122,0,"[3, 1, 5, 6, 7, 9, 12]"
122,1,"[2, 1, 4]"
122,2,"[7, 5, 1, 13]"
122,3,[1]
122,4,[6]
122,5,"[1, 5]"
122,6,"[11, 1]"
123,0,"[1, 4, 6, 5, 7, 10, 11]"
123,1,"[5, 3, 1]"
123,2,"[4, 5, 6, 10]"
123,3,[1]
123,4,[5]
123,5,"[5, 2]"
123,6,"[16, 2]"
124,0,"[4, 3, 6, 5, 7, 9, 11]"
124,1,"[4, 2, 6]"
124,2,"[4, 6, 7, 11]"
124,3,[3]
124,4,[3]
124,5,"[5, 2]"
124,6,"[5, 16]"
125,0,"[3, 2, 6, 5, 8, 10, 12]"
125,1,"[6, 5, 4]"
125,2,"[6, 7, 8, 12]"
125,3,[4]
125,4,[7]
125,5,"[4, 2]"
125,6,"[2, 15]"
126,0,"[4, 1, 6, 5, 7, 9, 11]"
126,1,"[2, 6, 1]"
126,2,"[3, 1, 4, 10]"
126,3,[4]
126,4,[5]
126,5,"[1, 2]"
126,6,"[2, 15]"
127,0,"[3, 1, 5, 6, 8, 9, 12]"
127,1,"[4, 5, 1]"
127,2,"[7, 8, 4, 9]"
127,3,[1]
127,4,[4]
127,5,"[4, 1]"
127,6,"[5, 20]"
128,0,"[3, 2, 6, 5, 8, 9, 12]"
128,1,"[5, 4, 6]"
128,2,"[1, 6, 3, 11]"
128,3,[2]
128,4,[6]
128,5,"[1, 2]"
128,6,"[5, 7]"
129,0,"[4, 1, 6, 5, 7, 9, 12]"
129,1,"[2, 1, 3]"
129,2,"[6, 7, 2, 12]"
129,3,[2]
129,4,[3]
129,5,"[3, 5]"
129,6,"[20, 21]"
130,0,"[4, 3, 5, 6, 8, 9, 11]"
130,1,"[6, 4, 5]"
130,2,"[2, 7, 8, 13]"
130,3,[4]
130,4,[2]
130,5,"[1, 5]"
130,6,"[10, 7]"
131,0,"[2, 4, 6, 5, 8, 9, 12]"
131,1,"[3, 5, 6]"
131,2,"[8, 7, 5, 9]"
131,3,[3]
131,4,[1]
131,5,"[2, 4]"
131,6,"[10, 5]"
132,0,"[3, 4, 6, 5, 8, 9, 11]"
132,1,"[3, 4, 6]"
132,2,"[7, 1, 4, 9]"
132,3,[1]
132,4,[6]
132,5,"[2, 4]"
